faction,hero_name,spd,attack_damage,attack_range,attack_speed,max_health,max_mana,armor,skill_name,skill_description,flavor_text,rarity,target_priority,spell_target_priority
human,ArchMage,4,18,200,1,80,150,0,Arcane_Storm,"Deals 120 magic damage to 3 random enemies and slows their attack speed by 50% for 2 turns","When the heavens weep magic, empires tremble.",Epic,FAR,FAR
human,ArcherMan,5,22,160,1,90,70,1,Piercing_Arrow,"Shoots through enemies in a line, dealing 40 physical damage to each","One arrow, three hearts. Economy of motion.",Uncommon,FAR,WEAK
human,CavalierMan,6,30,25,1,120,60,4,Charge,"Deals 50 bonus damage and stuns target for 1 turn on first attack","The ground shakes before the thunder of hooves.",Uncommon,CLOSE,CLOSE
human,CrossBowMan,4,28,160,1,100,60,2,Precision_Shot,"Deals 80 damage to target and reduces its armor by 5 for 3 turns","A bolt in the eye stops the fiercest battle cry.",Uncommon,STRONG,STRONG
human,HalberMan,5,28,40,1,110,50,5,Sweep_Attack,"Hits all adjacent enemies for 35 physical damage","Where the polearm swings, no shield remains intact.",Common,CLOSE,CLOSE
human,HorseMan,7,25,25,1,115,50,3,Cavalry_Advance,"Increases movement speed to 10 and attack damage by 15 for next turn","Swift as the wind, deadly as winter frost.",Common,CLOSE,CLOSE
human,KingMan,4,35,25,1,180,100,8,Royal_Decree,"Heals all allies for 60 health and increases their damage by 20% for 3 turns","The king's word is law; the law is victory.",Legendary,STRONG,ALLY
human,Mage,4,16,200,1,75,120,0,Fireball,"Deals 100 magic damage to target and 50 splash damage to nearby enemies","Who needs subtlety when you have incendiary enthusiasm?",Rare,FAR,WEAK
human,PrinceMan,5,30,25,1,150,80,5,Inspiring_Charge,"Increases adjacent allies' speed by 3 and attack by 10 for 2 turns","Follow the crown prince or be trampled by his wake.",Epic,CLOSE,ALLY
human,ShieldMan,3,20,25,1,150,50,10,Shield_Wall,"Reduces damage taken by adjacent allies by 30% for 3 turns","United we stand, behind my very large shield.",Uncommon,CLOSE,ALLY
human,SpearMan,4,26,40,1,105,60,2,Phalanx_Formation,"Increases armor by 8 and reflects 20% melee damage for 2 turns","The spear tip is mightiest when backed by brothers.",Common,CLOSE,CLOSE
dwarf,ArmoredBearRider,5,35,25,1,160,70,8,Armored_Clash,"Charges forward 3 tiles, dealing 60 damage and knocking back enemies","When bears wear steel, even mountains step aside.",Rare,STRONG,CLOSE
dwarf,BearRider,6,32,25,1,140,60,4,Savage_Maul,"Deals triple damage (96) if target has less than 50% health","Bear hugs: dwarven term for 'irreversible compression'.",Uncommon,WEAK,WEAK
dwarf,Demolitionist,4,0,40,1,90,80,2,Explosive_Trap,"Places a trap that explodes for 120 damage when enemy moves nearby","My fireworks display has more... permanent effects.",Uncommon,CLOSE,CLOSE
dwarf,Grenade,0,0,0,1,50,0,0,Proximity_Blast,"Explodes on death, dealing 100 damage to all units within 2 tiles","Handle with care. Or don't. I'm not your mother.",Common,CLOSE,CLOSE
dwarf,Grenadier,3,0,120,1,80,100,0,Frag_Bomb,"Throws grenade dealing 90 damage in 3-tile radius","Why aim when you can saturate the area?",Uncommon,FAR,FAR
dwarf,Hunter,4,25,120,1,100,60,2,Mark_Prey,"Increases damage taken by target by 30% for 3 turns","I've got you in my sights... and my crosshairs.",Common,STRONG,STRONG
dwarf,King,4,40,25,1,200,100,10,Mountain_Heart,"Grants all dwarves 15 armor and immunity to knockback for 4 turns","Under this king, even anvils feel inadequate.",Legendary,STRONG,ALLY
dwarf,Miner,3,20,25,1,110,40,3,Tunnel_Network,"Digs to any unoccupied tile within 5 spaces, ignoring obstacles","Shortcut? I call it 'geological efficiency'.",Common,CLOSE,CLOSE
dwarf,Rifleman,3,30,200,1,85,50,1,Headshot,"Deals 150% damage (45) if target hasn't moved this turn","Accuracy beats enthusiasm every time.",Rare,FAR,FAR
dwarf,Shieldbreaker,4,38,25,1,130,75,6,Sunder,"Reduces target's armor to 0 and deals bonus 50 damage","What shield? I see only kindling.",Epic,STRONG,STRONG
dwarf,Warrior,4,28,25,1,120,50,5,Battle_Rage,"Gains 20% lifesteal and 10 bonus damage when below 50% health","Anger management? I manage it into your face.",Common,CLOSE,CLOSE
elf,ArcaneArcher,5,24,180,1,85,110,1,Starlight_Arrow,"Deals 70 damage and blinds target (-50% accuracy) for 2 turns","My arrows drink moonlight and spit oblivion.",Rare,FAR,WEAK
elf,Archer,6,20,160,1,80,60,0,Double_Shot,"Attacks twice this turn with 25% reduced damage (15 per shot)","Two arrows are twice the invitation to Valinor.",Uncommon,FAR,WEAK
elf,HorseMan,7,28,25,1,100,70,2,Windstride,"Can move after attacking, up to 4 additional tiles","We ride not on horses, but on the west wind's breath.",Uncommon,CLOSE,CLOSE
elf,Mage,5,18,200,1,75,130,0,Entangling_Roots,"Immobilizes target and deals 40 damage/turn for 3 turns","Nature reclaims all... starting with your kneecaps.",Rare,FAR,CLOSE
elf,PegasusRider,10,25,25,1,110,90,3,Sky_Dive,"Dives from height, dealing 50 bonus damage and ignoring armor","Gravity is my favorite elven invention.",Epic,WEAK,WEAK
elf,Queen,5,30,40,1,170,150,4,Realm_Heartbeat,"Heals all elves for 80 health and removes negative effects","Her whisper grows forests; her command moves mountains.",Legendary,ALLY,ALLY
elf,SpearMan,6,26,40,1,95,80,2,Whirling_Defense,"Counters all melee attacks this turn for 25 damage each","Dance with me? My spear leads.",Common,CLOSE,CLOSE
elf,SpellSword,5,28,25,1,105,100,3,Magic_Infusion,"Next 3 attacks deal bonus 40 magic damage","Steel in one hand, starlight in the other.",Rare,STRONG,CLOSE
elf,SwordMan,6,30,25,1,115,60,3,Blade_Dance,"Dodges next attack and counters for 45 damage","Every parry is a sonnet; every thrust a haiku.",Uncommon,CLOSE,CLOSE
elf,Warden,4,22,40,1,140,120,6,Ancient_Guardian,"Taunts enemies in 3-tile radius and gains 15 armor for 2 turns","I stood when these mountains were but pebbles.",Epic,CLOSE,CLOSE
forestProtector,DryadDeer,8,20,25,1,120,80,0,Forest_Camouflage,"Becomes invisible when ending turn in forest tiles","Can you spot the tree that wasn't there yesterday?",Uncommon,CLOSE,CLOSE
forestProtector,DryadEnchantress,5,15,160,1,90,140,0,Charm_Beast,"Takes control of enemy animal unit for 3 turns","Even wolves know true beauty when they see it.",Rare,FAR,CLOSE
forestProtector,DryadHuntress,7,25,120,1,100,90,1,Thorn_Volley,"Fires 5 thorns dealing 15 damage each to random targets","My bouquet has a 100% fatality rate.",Uncommon,WEAK,FAR
forestProtector,Fairy,9,10,80,1,60,100,0,Dust_of_Sleep,"Puts enemies in 2-tile radius to sleep for 2 turns","Nap time is mandatory in my classroom.",Common,FAR,CLOSE
forestProtector,Pixie,10,5,60,1,50,80,0,Healing_Spark,"Heals ally for 60 health and removes 1 negative effect","Where I flutter, hope blossoms like spring flowers.",Common,ALLY,ALLY
forestProtector,SatyrDruid,5,0,0,1,130,150,0,Grove_Renewal,"Heals all allies for 100 health over 3 turns","The forest mends wounds as I mend spirits.",Rare,ALLY,ALLY
forestProtector,SatyrWarrior,7,32,25,1,140,60,4,Rampage,"Gains +10 damage per consecutive attack on same target","My horns aren't for show. They're for... interior design.",Uncommon,STRONG,CLOSE
forestProtector,Treant,2,40,25,1,180,100,12,Root_Slam,"Stuns all enemies in front for 1 turn and deals 60 damage","I move slowly. You'll move never.",Epic,CLOSE,CLOSE
forestProtector,TreantGuard,3,35,40,1,160,80,10,Bark_Shield,"Absorbs next 200 damage for self or adjacent ally","My skin stopped avalanches. Your sword amuses me.",Rare,ALLY,ALLY
forestProtector,Satyr,6,28,25,1,125,50,3,Headbutt,"Charges 3 tiles, dealing 45 damage and interrupting spells","Diplomacy failed. Initiating horn-based negotiation.",Common,CLOSE,CLOSE
forestProtector,YoungDryad,6,18,40,1,95,70,0,Photosynthesis,"Heals self for 40 health when ending turn in sunlight","Sunbathing is both hobby and combat tactic.",Common,CLOSE,CLOSE
holy,Angel,8,35,25,1,150,120,5,Divine_Intervention,"Revives dead ally with 50% health and full mana","Death takes a coffee break when I clock in.",Epic,ALLY,ALLY
holy,ArchAngel,10,40,25,1,180,150,8,Heaven_Wrath,"Deals 150 holy damage to all enemies in 5-tile radius","When angels lose patience, continents rearrange.",Legendary,CLOSE,FAR
holy,BattlePriest,4,20,40,1,110,130,3,Smite,"Deals 80 holy damage and silences target for 2 turns","My sermons come with built-in object lessons.",Uncommon,STRONG,STRONG
holy,Crusader,5,30,25,1,130,80,6,Holy_Shield,"Blocks next 120 damage and reflects 50% to attacker","My faith is my armor. Also, this actual armor.",Common,CLOSE,CLOSE
holy,CrusaderArcher,4,25,160,1,95,90,2,Purifying_Shot,"Deals 60 damage and removes buffs from target","Unholy? Let me introduce you to my sanctified pointy sticks.",Uncommon,FAR,WEAK
holy,CrusaderCaptain,5,33,25,1,140,100,7,Command_Aura,"Increases adjacent allies' damage by 25% and armor by 5","Follow me! To glory, redemption, or early retirement.",Rare,CLOSE,ALLY
holy,CrusaderCaptainFlagless,5,35,25,1,145,70,7,Veteran_Strike,"Deals 150% damage (52) if target has higher max health","Flags are for parades. I'm here for results.",Rare,STRONG,STRONG
holy,CrusaderFlag,0,0,0,1,80,0,3,Rally_Banner,"Doubles movement speed of all allies within 5 tiles for 1 turn","Where this banner waves, hope marches forward.",Uncommon,ALLY,ALLY
holy,CrusaderHorseMan,7,32,25,1,135,60,5,Righteous_Charge,"Deals 70 damage to first enemy hit and stuns for 1 turn","For the Light! And also momentum.",Uncommon,CLOSE,CLOSE
