faction,hero_name,spd,attack_damage,attack_range,attack_speed,max_health,max_mana,armor,skill_name,skill_description,flavor_text,rarity,target_priority,spell_target_priority
human,ArchMage,4,20,192,1,90,200,0,Chain_Lightning,"Unleashes a bolt of lightning that strikes up to 5 enemies, dealing 150 magic damage to the first target and 25% less damage with each subsequent jump.","""You shall not pass!"" - Gandalf, The Lord of the Rings: The Fellowship of the Ring",Legendary,FAR,STRONG
human,ArcherMan,5,40,208,1,95,50,0,Piercing_Shot,"Fires an arrow that passes through enemies in a line, dealing 75 physical damage to each enemy it hits.","""I am arrogant enough to think that I can shoot you from anywhere."" - Legolas, The Lord of the Rings: The Two Towers",Uncommon,FAR,FAR
human,CavalierMan,8,55,25,1,150,40,15,Charge,"On first attack, charges the farthest enemy, dealing 100 bonus physical damage and stunning them for 1.5 seconds.","""Forth, and fear no darkness! Arise! Arise, Riders of Théoden!"" - Théoden, The Lord of the Rings: The Return of the King",Rare,FAR,FAR
human,CrossBowMan,4,50,176,0.8,100,0,5,Heavy_Bolt,"Every 3rd attack deals 150% damage and briefly slows the target's movement speed by 30% for 2 seconds.","""This is my boomstick!"" - Ash Williams, Army of Darkness",Uncommon,STRONG,STRONG
human,HalberMan,4,45,40,1,120,0,10,Formation,"Gains 5 armor for each adjacent allied human unit.","""Hold the line! Stay with me!"" - William Wallace, Braveheart",Uncommon,CLOSE,CLOSE
human,HorseMan,8,40,25,1,135,0,5,Flank,"Moves to the enemy's backline, targeting the farthest and weakest enemy first.","""A single grain of rice can tip the scale. One man may be the difference between victory and defeat."" - The Emperor, Mulan",Common,WEAK,WEAK
human,KingMan,4,60,25,1,200,100,20,Rallying_Cry,"Grants all allied units +20 attack damage and +10 armor for 10 seconds.","""What is a king to a god?"" - T'Challa, Black Panther",Legendary,CLOSE,ALLY
human,Mage,4,15,160,1,85,150,0,Fireball,"Launches a fireball at the strongest enemy, dealing 120 area-of-effect magic damage.","""It does not do to dwell on dreams and forget to live."" - Albus Dumbledore, Harry Potter and the Sorcerer's Stone",Rare,FAR,STRONG
human,PrinceMan,5,50,25,1.2,125,50,10,Duelist_Stance,"Challenges the strongest enemy, forcing them to attack him. Gains 30% dodge chance for 5 seconds.","""My name is Inigo Montoya. You killed my father. Prepare to die."" - Inigo Montoya, The Princess Bride",Epic,STRONG,STRONG
human,ShieldMan,4,20,25,1,180,30,25,Shield_Wall,"Raises his shield, blocking 75% of incoming damage from the front for 4 seconds.","""Whatever comes through that gate, you will stand your ground."" - Captain Lennox, Transformers",Uncommon,CLOSE,CLOSE
human,SpearMan,5,35,35,1,100,0,5,First_Strike,"Always attacks first when an enemy moves into range.","""The nail that sticks out gets hammered down."" - Japanese Proverb, often used in literature.",Common,CLOSE,CLOSE
dwarf,ArmoredBearRider,7,70,25,1,250,50,25,Unstoppable_Force,"Charges forward in a line, damaging and knocking back all enemies in his path for 150 damage.","""Let them come. There is one dwarf yet in Moria who still draws breath!"" - Gimli, The Lord of the Rings: The Fellowship of the Ring",Epic,CLOSE,FAR
dwarf,BearRider,7,60,25,1,220,40,15,Bear_Maul,"The bear swipes at the target, dealing bonus 50 damage and causing them to bleed for 10 damage per second for 5 seconds.","""I am a servant of the Secret Fire, wielder of the flame of Anor."" - Gandalf, The Lord of the Rings: The Fellowship of the Ring",Rare,CLOSE,STRONG
dwarf,Demolitionist,4,30,96,1,110,100,5,Sapper_Charge,"Plants a bomb at a target location that detonates after 2 seconds, dealing 200 magic damage to all units in a 2-cell radius.","""Some men just want to watch the world burn."" - Alfred Pennyworth, The Dark Knight",Rare,FAR,FAR
dwarf,Grenade,0,0,0,0,50,0,0,Explosive_Surprise,"When destroyed, explodes to deal 80 damage to all units within a 2-cell radius.","""This is no mine. It's a tomb."" - Gimli, The Lord of the Rings: The Fellowship of the Ring",Uncommon,CLOSE,CLOSE
dwarf,Grenadier,4,25,112,1,105,80,5,Cluster_Bomb,"Throws a grenade that splits into 3 smaller grenades on impact, each dealing 60 area damage.","""The only thing better than a keg of ale is a keg of explosives!"" - Varric Tethras, Dragon Age II (Paraphrased)",Uncommon,FAR,FAR
dwarf,Hunter,5,45,176,1,100,40,5,Hunter's_Trap,"Places a trap that, when triggered by an enemy, roots them for 3 seconds and deals 50 damage.","""The beast is wounded. It will find a place to lick its wounds. A dark place. A quiet place."" - Quint, Jaws",Uncommon,FAR,CLOSE
dwarf,King,4,75,30,1,300,120,30,Anvil_of_Doom,"Slams his hammer on the ground, stunning all enemies for 2 seconds and dealing 100 damage.","""The king is dead, long live the king."" - Traditional Proclamation",Legendary,CLOSE,CLOSE
dwarf,Miner,5,35,25,1,120,0,10,Tough_as_Nails,"Passively has 10 extra armor.","""I am a dwarf and I'm digging a hole. Diggy diggy hole, diggy diggy hole."" - Yogscast, 'Diggy Diggy Hole'",Common,CLOSE,CLOSE
dwarf,Rifleman,4,80,224,0.7,95,30,5,Headshot,"Every 4th attack is a guaranteed critical strike, dealing 200% damage.","""Go ahead, make my day."" - Harry Callahan, Sudden Impact",Rare,WEAK,WEAK
dwarf,Shieldbreaker,5,55,25,1,140,50,15,Sunder_Armor,"Each attack permanently reduces the target's armor by 5.","""The bigger they are, the harder they fall."" - Robert Fitzsimmons",Rare,STRONG,STRONG
dwarf,Warrior,5,50,25,1,150,0,15,Battle_Hardened,"Passively gains 1% damage reduction for every 2% of missing health.","""And my axe!"" - Gimli, The Lord of the Rings: The Fellowship of the Ring",Common,CLOSE,CLOSE
elf,ArcaneArcher,5,50,208,1,95,80,0,Mana_Burn_Arrow,"Arrows burn 20 mana from the target on hit and deal bonus damage equal to the mana burned.","""Magic is a tool, and a tool can be used for good or ill."" - Eragon, Eragon",Rare,FAR,STRONG
elf,Archer,5,40,224,1.2,90,0,0,Rapid_Fire,"Passively has 20% increased attack speed.","""You have my bow."" - Legolas, The Lord of the Rings: The Fellowship of the Ring",Common,WEAK,WEAK
elf,HorseMan,9,45,25,1,130,0,5,Elven_Swiftness,"Has a 25% chance to dodge melee attacks.","""The horse is a mirror to your soul... and you might be surprised what you see."" - Buck Brannaman",Uncommon,CLOSE,FAR
elf,Mage,4,15,176,1,85,160,0,Polymorph,"Transforms the strongest enemy into a squirrel for 4 seconds, disabling their attacks and abilities.","""I'll get you, my pretty, and your little dog, too!"" - Wicked Witch of the West, The Wizard of Oz",Epic,STRONG,STRONG
elf,PegasusRider,10,65,25,1,150,60,10,Dive_Bomb,"Flies into the air and dives on the most crowded area of enemies, dealing 120 damage and slowing them.","""On wings of glory, we shall ride!"" - Bellerophon (Mythology, Paraphrased)",Epic,FAR,FAR
elf,Queen,4,50,192,1,140,180,5,Forest's_Blessing,"Heals all allied elves for 150 health and grants them 20% increased movement and attack speed for 8 seconds.","""Even the smallest person can change the course of the future."" - Galadriel, The Lord of the Rings: The Fellowship of the Ring",Legendary,FAR,ALLY
elf,SpearMan,5,40,40,1,100,0,5,Vigilance,"Gains a temporary shield that absorbs 100 damage after not taking damage for 5 seconds.","""All that is gold does not glitter, Not all those who wander are lost."" - J.R.R. Tolkien, The Lord of the Rings",Common,CLOSE,CLOSE
elf,SpellSword,5,55,25,1.2,110,80,10,Arcane_Blade,"Each attack restores 5 mana. When mana is full, the next attack deals an additional 100 magic damage.","""There is no good or evil, there is only power, and those too weak to seek it."" - Professor Quirrell (Voldemort), Harry Potter and the Sorcerer's Stone",Rare,CLOSE,STRONG
elf,SwordMan,5,45,25,1.2,105,0,5,Blade_Dance,"Performs a quick flurry of 3 strikes, each dealing 50% damage.","""A sword's a sword, a helm's a helm, and a man's a man. But a good sword in a good man's hand is a power that can move the world."" - George R.R. Martin, A Storm of Swords",Common,CLOSE,CLOSE
elf,Warden,5,50,25,1,160,60,15,Entangling_Roots,"Summons roots to immobilize the 3 closest enemies for 2.5 seconds.","""The trees are my allies, my watchmen."" - Radagast the Brown (Paraphrased), The Hobbit",Rare,CLOSE,CLOSE
forestProtector,DryadDeer,7,35,25,1,130,50,5,Nature's_Touch,"Heals the most wounded ally (including self) for 120 health.","""Look for the bare necessities, the simple bare necessities."" - Baloo, The Jungle Book",Uncommon,CLOSE,ALLY
forestProtector,DryadEnchantress,5,20,160,1,100,150,0,Charm,"Charms the farthest enemy, causing them to walk harmlessly towards her for 3 seconds.","""A little magic can take you a long way."" - Roald Dahl, James and the Giant Peach",Rare,FAR,FAR
forestProtector,DryadHuntress,5,45,192,1.1,95,40,0,Poisoned_Dart,"Shoots a dart that deals 30 initial damage and 15 magic damage per second for 5 seconds.","""Aim for the heart, or the head. Either way, it's a kill."" - Katniss Everdeen, The Hunger Games",Uncommon,WEAK,WEAK
forestProtector,Fairy,10,10,25,3,60,80,0,Phase_Shift,"Briefly teleports to a random location to avoid a killing blow, healing for 50% of max health. Can only occur once per battle.","""Do you believe in fairies? Say quick that you believe. If you believe, clap your hands!"" - J.M. Barrie, Peter Pan",Rare,CLOSE,ALLY
forestProtector,Pixie,9,15,128,2,70,60,0,Glitterdust,"Throws dust at the closest enemies, causing their attacks to have a 30% chance to miss for 4 seconds.","""Though she be but little, she is fierce!"" - William Shakespeare, A Midsummer Night's Dream",Uncommon,CLOSE,CLOSE
forestProtector,SatyrDruid,4,25,144,1,110,140,5,Rejuvenation,"Places a healing-over-time effect on a wounded ally, restoring 200 health over 10 seconds.","""The forest speaks to those who listen."" - Pocahontas (Paraphrased), Pocahontas",Rare,FAR,ALLY
