faction,hero_name,spd,attack_damage,attack_range,attack_speed,max_health,max_mana,armor,skill_name,skill_description,flavor_text,rarity,target_priority,spell_target_priority
human,ArchMage,5,30,50,1,80,130,0,Blizzard,"Deals 40 frost damage in 3x3 area, slows enemies by 50% for 2 turns.","There is no spoon. - The Matrix",Legendary,FAR,STRONG
human,ArcherMan,6,28,90,1,90,60,0,Piercing_Arrow,"Fires an arrow that pierces up to 3 enemies for 35 damage.","Aim small, miss small. - The Patriot",Common,FAR,STRONG
human,CavalierMan,8,35,30,1,120,80,10,Charge,"Dashes 5 tiles to hit target, dealing 50 damage and stunning.","Fortune favors the bold. - Virgil",Rare,CLOSE,FAR
human,CrossBowMan,5,32,80,1,85,70,0,Quick_Bolt,"Instantly fires two bolts at once, each dealing 25 damage.","Say hello to my little friend! - Scarface",Uncommon,FAR,STRONG
human,HalberMan,5,33,40,1,105,70,5,Sweep_Strike,"Swings halberd in arc, hitting up to 3 enemies for 30 damage.","Walk softly and carry a big stick. - Theodore Roosevelt",Uncommon,CLOSE,CLOSE
human,HorseMan,7,30,30,1,100,50,5,Trample,"Moves 3 tiles forward, damaging all in path for 35.","I feel the need — the need for speed. - Top Gun",Common,CLOSE,FAR
human,KingMan,4,28,30,1,140,120,15,Royal_Command,"Buffs nearby allies, increasing their attack by 10 for 2 turns.","Heavy is the head that wears the crown. - Shakespeare, Henry IV",Legendary,CLOSE,ALLY
human,Mage,5,25,60,1,80,120,0,Fire_Blast,"Deals 35 fire damage to one target, 20 splash nearby.","Not all those who wander are lost. - J.R.R. Tolkien",Rare,FAR,STRONG
human,PrinceMan,6,30,30,1,110,100,8,Inspire,"Increases all allies' speed by 2 for 1 turn.","To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment. - Emerson",Epic,CLOSE,ALLY
human,ShieldMan,4,20,25,1,130,50,20,Defend,"Blocks next attack, reducing damage by 80%.","I am the shield that guards the realms of men. - Game of Thrones",Uncommon,CLOSE,ALLY
human,SpearMan,5,28,40,1,100,60,5,Spear_Thrust,"Deals 30 damage and pushes target 1 tile back.","Cry havoc and let slip the dogs of war. - Shakespeare, Julius Caesar",Common,CLOSE,CLOSE
dwarf,ArmoredBearRider,7,38,35,1,130,70,15,Maul,"Bear charges, dealing 50 damage and bleeding for 2 turns.","The mountains are calling and I must go. - John Muir",Epic,CLOSE,STRONG
dwarf,BearRider,7,35,30,1,120,60,10,Beast_Charge,"Rider leaps 3 tiles, dealing 40 damage.","Hold the door! - Game of Thrones",Rare,CLOSE,CLOSE
dwarf,Demolitionist,4,40,70,1,90,90,0,Bombard,"Throws bomb, 45 damage in 2x2 area.","Yippee-ki-yay, motherf***er! - Die Hard",Rare,FAR,STRONG
dwarf,Grenade,0,0,0,0,0,0,0,None,"No skill, inert item.","This is your life and it’s ending one minute at a time. - Fight Club",Common,CLOSE,CLOSE
dwarf,Grenadier,4,35,65,1,85,80,0,Cluster_Grenade,"Throws grenade splitting in 3, 25 damage each.","Boom! Shake the room. - Fresh Prince",Uncommon,FAR,STRONG
dwarf,Hunter,5,30,80,1,95,70,0,Mark_Shot,"Marks target, next shot +15 damage.","Keep your friends close, but your enemies closer. - The Godfather Part II",Common,FAR,STRONG
dwarf,King,4,28,30,1,140,110,15,Iron_Command,"All dwarves gain +5 armor for 2 turns.","My precious. - The Lord of the Rings",Legendary,CLOSE,ALLY
dwarf,Miner,0,0,0,0,100,30,0,Dig_In,"Hides underground, immune 1 turn.","All we have to decide is what to do with the time that is given us. - The Lord of the Rings",Common,CLOSE,CLOSE
